처방아이디,처방한글명,처방한자명,출전,출처,페이지,증상한글명,증상한자명,일반인설명,약재한글명,약재한자명,약재이명,약재타입,수치법,약용부위,귀경,성,미,독성,분류,과명,용량,단위
FO00700001,가감내고환,加減內固丸,入門,肝系內科學,876,,,,파극천,巴戟天,鷄腸風|川巴戟|兎子腸|巴戟|巴戟天,M,,뿌리(根),肝|腎,微溫,甘|辛,,補陽藥,Rubiaceae,11.5,g
FO00700001,가감내고환,加減內固丸,入門,肝系內科學,876,,,,육종용,肉蓯蓉,金荀|金笋|淡大蕓|大蕓|碧水龍|陸松蓉|肉菘蓉|肉從容|肉從蓉|肉蓗蓉|紫花地丁|縱蓉|地丁|地精|寸蕓|蓯蓉|黑司命,M,,육질경(肉質莖),腎|大腸,溫,甘|鹹,,補陽藥,Orobanchaceae,11.5,g
FO00700001,가감내고환,加減內固丸,入門,肝系內科學,876,,,,산수유,山茱萸,鷄足|鬾實|山茱|山茱臾|山萸|鼠矢|石棗|食茱萸|實棗兒|藥棗|萸肉|肉棗|蜀棗|湯主,M,,과실(果實),肝|腎,微溫,酸|澀,,澁精縮尿止帶藥,Cornaceae,11.5,g
FO00700001,가감내고환,加減內固丸,入門,肝系內科學,876,,,,토사자,菟絲子,金絲草|金黃絲子|菟絲|菟絲實|免絲子|夢絲子|無根藤子|小菟絲子|小粒菟絲子|迎陽子|龍鬚子|兎絲子|吐絲子|兔絲子|黃藤子,M,,종자(種子),肝|腎|脾,溫,辛|甘,,補陽藥,Convolvulaceae,11.5,g
FO00700001,가감내고환,加減內固丸,入門,肝系內科學,876,,,,보골지,補骨脂,吉固子|反古紙|補骨鴟|夭豆|婆固紙|婆固脂|破古紙|破故紙|破故芷|破胡紙|胡故子|胡韭子|和蘭莧|黑故子,M,,과실(果實),腎|脾,溫,辛|苦,,補陽藥,Leguminosae,93.75,g
FO00700001,가감내고환,加減內固丸,入門,肝系內科學,876,,,,석곡,石斛,禁生|金叉石斛|金釵|金釵花|鈕斛|杜蘭|麥斛|百丈鬚|石斛草|石蓫|鱗鯉甲|林蘭|雀脾斛|長生草|吊蘭花|吊蘭|千年潤|黃草,M,,지상부(地上部),胃|腎,微寒,甘,,補陰藥,Orchidaceae,75,g
FO00700001,가감내고환,加減內固丸,入門,肝系內科學,876,,,,호로파,胡蘆巴,季豆|苦豆|蘆肥子|蘆巴|蘆巴子|小木夏|腎曹都尉|腎曹都护|香豆子|香蘿蔔|香草子|胡蘆芭|葫蘆巴|胡巴,M,,종자(種子),肝|腎,溫,苦,,補陽藥,Leguminosae,75,g
FO00700001,가감내고환,加減內固丸,入門,肝系內科學,876,,,,회향,茴香,穀香|穀茴香|大茴香|小香|小懷香|小茴香|蒔蘿|野茴香|土茴香|八月珠|香子|懷香|茴香|蘹香,M,,과실(果實),肝|腎|脾|肺,溫,辛,,溫裏藥,Umbelliferae,37.5,g
FO00700001,가감내고환,加減內固丸,入門,肝系內科學,876,,,,부자,附子,漏籃子|大附子|大黑附子|綿附|明附片|白幕|熟白附子|中附子|萴|卽子|萴子|川附子|側子|虎掌|黑附子,M,,자근(子根),心|脾|腎,熱,甘|辛,有毒,溫裏藥,Ranunculaceae,18.75,g
FO00700002,가감배풍탕,加減排風湯,醫鑑,肝系內科學,876,,,,천마,天麻,瓜天麻|鬼督郵|都羅木|獨搖|獨搖芝|獨搖草|離母|明天麻|分離草|産夢蔔|石箭|神草|羊角天麻|禦風草|閻狗|鄆芝|離草|醬瓜天麻|箭麻|定風草|定風草根|足麻|天痲|衝天麻|合離草,M,,괴경(塊莖),肝,平,甘,,平肝息風藥,Orchidaceae,7.5,g
