처방아이디,처방한글명,처방한자명,출전,출처,페이지,증상한글명,증상한자명,일반인설명,약재한글명,약재한자명,약재이명,약재타입,수치법,약용부위,귀경,성,미,독성,분류,과명,용량,단위
FO00600001,가미인진호탕,加味茵蔯蒿湯,,脾系內科學,447,,,,인진호,茵蔯蒿,加外左只|家茵陳|馬先|綿茵陳|白蒿|石茵陳|細葉靑蒿|蓍蒿|安呂草|野蘭蒿|絨蒿|因塵|茵蔯|茵陳|䓰薼|茵陳草|因陳蒿|茵蔯蒿|茵陳蒿|臭蒿|婆婆蒿|猴子毛,M,,전초(全草),脾|胃|肝|膽,微寒,苦|辛,,利尿通淋藥,Compositae,10,g
FO00600001,가미인진호탕,加味茵蔯蒿湯,,脾系內科學,447,,,,금전초,金錢草,,M,,전초(全草),肝|膽|腎|膀胱,微寒,甘|鹹,,利尿通淋藥,,10,g
FO00600001,가미인진호탕,加味茵蔯蒿湯,,脾系內科學,447,,,,연교,連翹,空殼|空翹|翹殼|大翹子|落翹|連翹|北召|北連翹|連殼|蓮翹|連翹殼|連翹衣|元召|淨連翹|澤州連翹|旱連子|黃元召,M,,과실(果實),心|肺|膽,微寒,苦,,淸熱解毒藥,Oleaceae,4.8,g
FO00600001,가미인진호탕,加味茵蔯蒿湯,,脾系內科學,447,,,,시호,柴胡,南柴胡|北柴胡|北胡|細柴胡|紫荊關柴胡|茈胡|才胡|地熏|津柴胡|川柴胡|鐵苗柴胡|秋柴胡|春柴胡|漢柴胡,M,,뿌리(根),肝|膽,微寒,苦,,發散風熱藥,Umbelliferae,4.8,g
FO00600001,가미인진호탕,加味茵蔯蒿湯,,脾系內科學,447,,,,치자,梔子,木丹|肥梔子|山梔|山梔子|鮮支|小巵子|越桃|支子|枝子|川揀子|巵子|紅枝子|黃鷄子|黃果樹子|黃荑子|黃梔子|㮁桃|黑山梔,M,,과실(果實),心|肝|肺|胃|三焦,寒,苦,,淸熱瀉火藥,Rubiaceae,4,g
FO00600001,가미인진호탕,加味茵蔯蒿湯,,脾系內科學,447,,,,대황,大黃,錦文|錦紋|錦紋大黃|錦黃|膚如|生軍|牛舌大黃|紫地錦紋|將軍|川軍|川大黃|蜀大黃|香大黃|火參|黃良,M,,뿌리줄기(根莖),脾|胃|大腸|肝|心包,寒,苦,,攻下藥,Polyponaceae,4,g
FO00600001,가미인진호탕,加味茵蔯蒿湯,,脾系內科學,447,,,,울금,鬱金,金母蛻|馬蒁|白絲鬱金|深黃|玉金|蔚金|鬱金|鬱鬯|乙金|黃鬱,M,,괴근(塊根),心|肝|膽,寒,辛|苦,,活血祛瘀藥,Zingiberaceae,4,g
FO00600001,가미인진호탕,加味茵蔯蒿湯,,脾系內科學,447,,,,지각,枳殼,奴隸|大枳殼|洞庭奴隸|商殼|商州枳殼|商枳殼|只殼|枳慤|枳角|枳穀|陳枳殼|香橙殼,M,,과실(果實),肺|脾|大腸,凉,苦|辛,,理氣藥,Rutaceae,4,g
FO00600002,가감목향산,加減木香散,,脾系內科學,447,,,,목향,木香,廣木香|南木香|唐木香|大通綠|蜜香|番木香|五木香|五香|雲南木香|雲木香|印木香|一根草|靑木香|土木香,M,,뿌리(根),脾|胃|大腸|三焦|膽,溫,辛|苦,,理氣藥,Compositae,10,g
FO00600002,가감목향산,加減木香散,,脾系內科學,447,,,,고량강,高良薑,膏凉薑|良薑|蠻薑|佛手根|小良薑|良干|良薑|風薑|海良薑,M,,뿌리줄기(根莖),脾|肺,熱,辛,有毒,溫裏藥,Zingiberaceae,10,g
