처방아이디,처방한글명,처방한자명,출전,출처,페이지,증상한글명,증상한자명,일반인설명,약재한글명,약재한자명,약재이명,약재타입,수치법,약용부위,귀경,성,미,독성,분류,과명,용량,단위
FO00400001,가감내고환,加減內固丸,醫學入門,腎系內科學,1419,,,,육종용,肉蓯蓉,金荀|金笋|淡大蕓|大蕓|碧水龍|陸松蓉|肉菘蓉|肉從容|肉從蓉|肉蓗蓉|紫花地丁|縱蓉|地丁|地精|寸蕓|蓯蓉|黑司命,M,,육질경(肉質莖),腎|大腸,溫,甘|鹹,,補陽藥,Orobanchaceae,112.5,g
FO00400001,가감내고환,加減內固丸,醫學入門,腎系內科學,1419,,,,파극천,巴戟天,鷄腸風|川巴戟|兎子腸|巴戟|巴戟天,M,,뿌리(根),肝|腎,微溫,甘|辛,,補陽藥,Rubiaceae,112.5,g
FO00400001,가감내고환,加減內固丸,醫學入門,腎系內科學,1419,,,,산약,山藥,幹山藥|九黃薑|白苕|佛掌薯|蛇芋|山薯|山芋|山藷|山板朮|薯藥|薯蕷|署豫|署預|修脆|兒草|野白薯|野山豆|蕷藥|延草|玉延|王茅|藷|藷粮|藷藇|諸署|土藷|扁子薯|淮山藥,M,,뿌리줄기(根莖),脾|肺|腎,平,甘,,補氣藥,Dioscoreaceae,112.5,g
FO00400001,가감내고환,加減內固丸,醫學入門,腎系內科學,1419,,,,산수유,山茱萸,鷄足|鬾實|山茱|山茱臾|山萸|鼠矢|石棗|食茱萸|實棗兒|藥棗|萸肉|肉棗|蜀棗|湯主,M,,과실(果實),肝|腎,微溫,酸|澀,,澁精縮尿止帶藥,Cornaceae,112.5,g
FO00400001,가감내고환,加減內固丸,醫學入門,腎系內科學,1419,,,,토사자,菟絲子,金絲草|金黃絲子|菟絲|菟絲實|免絲子|夢絲子|無根藤子|小菟絲子|小粒菟絲子|迎陽子|龍鬚子|兎絲子|吐絲子|兔絲子|黃藤子,M,,종자(種子),肝|腎|脾,溫,辛|甘,,補陽藥,Convolvulaceae,112.5,g
FO00400001,가감내고환,加減內固丸,醫學入門,腎系內科學,1419,,,,보골지,補骨脂,吉固子|反古紙|補骨鴟|夭豆|婆固紙|婆固脂|破古紙|破故紙|破故芷|破胡紙|胡故子|胡韭子|和蘭莧|黑故子,M,,과실(果實),腎|脾,溫,辛|苦,,補陽藥,Leguminosae,93.75,g
FO00400001,가감내고환,加減內固丸,醫學入門,腎系內科學,1419,,,,석곡,石斛,禁生|金叉石斛|金釵|金釵花|鈕斛|杜蘭|麥斛|百丈鬚|石斛草|石蓫|鱗鯉甲|林蘭|雀脾斛|長生草|吊蘭花|吊蘭|千年潤|黃草,M,,지상부(地上部),胃|腎,微寒,甘,,補陰藥,Orchidaceae,75,g
FO00400001,가감내고환,加減內固丸,醫學入門,腎系內科學,1419,,,,호로파,胡蘆巴,季豆|苦豆|蘆肥子|蘆巴|蘆巴子|小木夏|腎曹都尉|腎曹都护|香豆子|香蘿蔔|香草子|胡蘆芭|葫蘆巴|胡巴,M,,종자(種子),肝|腎,溫,苦,,補陽藥,Leguminosae,75,g
FO00400001,가감내고환,加減內固丸,醫學入門,腎系內科學,1419,,,,회향,茴香,穀香|穀茴香|大茴香|小香|小懷香|小茴香|蒔蘿|野茴香|土茴香|八月珠|香子|懷香|茴香|蘹香,M,,과실(果實),肝|腎|脾|肺,溫,辛,,溫裏藥,Umbelliferae,37.5,g
FO00400001,가감내고환,加減內固丸,醫學入門,腎系內科學,1419,,,,부자,附子,漏籃子|大附子|大黑附子|綿附|明附片|白幕|熟白附子|中附子|萴|卽子|萴子|川附子|側子|虎掌|黑附子,M,,자근(子根),心|脾|腎,熱,甘|辛,有毒,溫裏藥,Ranunculaceae,18.75,g
FO00400002,가감시령탕,加減柴苓湯,證治準繩,腎系內科學,1419,,,,시호,柴胡,南柴胡|北柴胡|北胡|細柴胡|紫荊關柴胡|茈胡|才胡|地熏|津柴胡|川柴胡|鐵苗柴胡|秋柴胡|春柴胡|漢柴胡,M,,뿌리(根),肝|膽,微寒,苦,,發散風熱藥,Umbelliferae,3.75,g
FO00400002,가감시령탕,加減柴苓湯,證治準繩,腎系內科學,1419,,,,택사,澤瀉,建瀉|鵠瀉|鵠澤|及瀉|蘭紅|芒芋|福澤瀉|酸惡兪|宣澤瀉|水瀉|水澤瀉|禹瀉|禹孫|牛耳菜|天禿|天鵝蠶|川澤瀉|宅夕|宅泄|澤芝,M,,괴경(塊莖),腎|膀胱,寒,甘,,利水退腫藥,Alismataceae,3.75,g
FO00400002,가감시령탕,加減柴苓湯,證治準繩,腎系內科學,1419,,,,적복령,赤茯苓,赤苓|赤茯|赤服岺|赤茯笭|赤茯苓,M,,표층 아래 淡紅色(표층 아래 淡紅色),心|脾|膀胱,平,甘|淡,,利水退腫藥,Polyporaceae,2.625,g
FO00400002,가감시령탕,加減柴苓湯,證治準繩,腎系內科學,1419,,,,저령,猪苓,豭猪屎|結豬苓|導河椽|苓|木豬苓|茱苓|豕零|豕橐|猪|猪零|豬苓|猪屎苓|朱苓|地烏桃|豨苓,M,,균핵(菌核),腎|膀胱,平,甘|淡,,利水退腫藥,Polyporaceae,2.625,g
FO00400002,가감시령탕,加減柴苓湯,證治準繩,腎系內科學,1419,,,,감초,甘草,甘艸|甘草|甘草根|枯甘草|國老|國老草|大甘草|大嗷|蕗草|美草|蜜甘|蜜草|粉甘草|紛甘草|粉草|紛草|生草|細甘草|小甘草|靈草|靈通|倫蜜珊瑚|主人|槍罕草|甛甘草|甛根子|甛草|橫紋甘草,M,,뿌리줄기(根莖)|뿌리(根),心|肺|脾|胃,平,甘,,補氣藥,Leguminosae,2.625,g
FO00400002,가감시령탕,加減柴苓湯,證治準繩,腎系內科學,1419,,,,반하,半夏,狗芋頭|老瓜蒜|老鴉眼|痰宮劈歷|大半夏|半下|白傍幾子|白羊眼半夏|小天南星|水玉|守田|示姑|羊眼|羊眼半夏|圓白半夏|地文|雉毛奴邑|雉毛邑|杏州半夏|和姑,M,,괴경(塊莖),脾|胃|肺,溫,辛,有毒,溫化寒痰藥,Araceae,2.625,g
FO00400002,가감시령탕,加減柴苓湯,證治準繩,腎系內科學,1419,,,,백출,白朮,乞力伽|鷄腿朮|貢朮|廣朮|狗頭朮|金錢朮|大白朮|臺白朮|臺朮|冬白朮|冬朮|馬薊|木朮|苗朮|白大壽|峰貢朮|桴薊|糞朮|沙邑條根|削朮|山薑|山芥|山薊|山連|山精|象朮|雪白朮|野朮|楊桴|楊桴薊|楊抱|楊枹薊|吳白朮|吳朮|于潛白朮|于潛朮|芋朮|雲頭朮|蕓白朮|雲白朮|雲片白朮|浙朮|種朮|天薊|天生朮|天蘇|朮|台白朮|片白術|片白朮|片朮|抱薊|豊慶朮|杭朮|歙朮,M,,뿌리줄기(根莖),脾|胃,溫,苦|甘,,補氣藥,Compositae,2.625,g
FO00400002,가감시령탕,加減柴苓湯,證治準繩,腎系內科學,1419,,,,산사,山楂,檕梅|朹|朹子|棠朹子|棠梂子|唐山査|茅樝|鼻涕團|楂肉|楂子|山里果|山里紅果|山査|山楂實|山査肉|山楂肉|山査子|山楂子|酸楂片|酸棗|鼠査|鼠楂梂|鮮肥山楂|枾樝子|羊梂|映山紅果|赤楂|赤棗|赤爪|赤爪實|猴樝,M,,과실(果實),脾|胃|肝,微溫,酸|甘,,消食藥,Rosaceae,2.625,g
FO00400002,가감시령탕,加減柴苓湯,證治準繩,腎系內科學,1419,,,,치자,梔子,木丹|肥梔子|山梔|山梔子|鮮支|小巵子|越桃|支子|枝子|川揀子|巵子|紅枝子|黃鷄子|黃果樹子|黃荑子|黃梔子|㮁桃|黑山梔,M,炒,과실(果實),心|肝|肺|胃|三焦,寒,苦,,淸熱瀉火藥,Rubiaceae,2.625,g
FO00400003,가감위령탕,加減胃苓湯,醫鑑,腎系內科學,1419,,,,창출,蒼朮,馬薊|茅君寶|茅山蒼朮|茅朮|山薑|山芥|山薊|山連|山精|仙朮|赤朮|地葵|陳蒼朮|蒼術|創出|天薊|天蘇|天精|朮,M,,뿌리줄기(根莖),脾|胃|肝,溫,辛|苦,,芳香化濕藥,Compositae,5.625,g
FO00400003,가감위령탕,加減胃苓湯,醫鑑,腎系內科學,1419,,,,진피,陳皮,柑子皮|柑皮|苦枥皮|苦榴皮|苦樹皮|廣柑皮|廣橘皮|廣陳皮|廣皮|貴老|橘子皮|橘皮|芩皮|攀槻皮|白樳木皮|樊槻皮|蜡樹皮|細辛木皮|新會柑皮|新會皮|梣槻皮|樳木皮|梣皮|若理木皮|浙陳皮|陳柑皮|陳廣皮|陳橘皮|秦白皮|陣皮|川橘皮|紅皮|黃橘皮,M,,과피(果皮),脾|肺,溫,辛|苦,,理氣藥,Rutaceae,3.75,g
FO00400003,가감위령탕,加減胃苓湯,醫鑑,腎系內科學,1419,,,,택사,澤瀉,建瀉|鵠瀉|鵠澤|及瀉|蘭紅|芒芋|福澤瀉|酸惡兪|宣澤瀉|水瀉|水澤瀉|禹瀉|禹孫|牛耳菜|天禿|天鵝蠶|川澤瀉|宅夕|宅泄|澤芝,M,,괴경(塊莖),腎|膀胱,寒,甘,,利水退腫藥,Alismataceae,3.75,g
FO00400003,가감위령탕,加減胃苓湯,醫鑑,腎系內科學,1419,,,,백출,白朮,乞力伽|鷄腿朮|貢朮|廣朮|狗頭朮|金錢朮|大白朮|臺白朮|臺朮|冬白朮|冬朮|馬薊|木朮|苗朮|白大壽|峰貢朮|桴薊|糞朮|沙邑條根|削朮|山薑|山芥|山薊|山連|山精|象朮|雪白朮|野朮|楊桴|楊桴薊|楊抱|楊枹薊|吳白朮|吳朮|于潛白朮|于潛朮|芋朮|雲頭朮|蕓白朮|雲白朮|雲片白朮|浙朮|種朮|天薊|天生朮|天蘇|朮|台白朮|片白術|片白朮|片朮|抱薊|豊慶朮|杭朮|歙朮,M,,뿌리줄기(根莖),脾|胃,溫,苦|甘,,補氣藥,Compositae,3.75,g
FO00400003,가감위령탕,加減胃苓湯,醫鑑,腎系內科學,1419,,,,적복령,赤茯苓,赤苓|赤茯|赤服岺|赤茯笭|赤茯苓,M,,표층 아래 淡紅色(표층 아래 淡紅色),心|脾|膀胱,平,甘|淡,,利水退腫藥,Polyporaceae,3.75,g
FO00400003,가감위령탕,加減胃苓湯,醫鑑,腎系內科學,1419,,,,모과,木瓜,蠻楂|木果|木瓜|木瓜實|楙|宣木瓜|川木瓜|鐵脚梨|貼梗海棠|皺皮木瓜,M,,과실(果實),肝|脾,溫,酸,,舒筋活絡藥,Rosaceae,3.75,g
FO00400003,가감위령탕,加減胃苓湯,醫鑑,腎系內科學,1419,,,,후박,厚朴,濃朴|淡伯|大厚朴|烈朴|油朴|紫油朴|紫厚朴|赤朴|重皮|川朴|川厚朴|川厚樸|厚樸|厚朴皮|厚皮,M,,수피(樹皮),脾|胃|肺|大腸,溫,苦|辛,,芳香化濕藥,Magnoliaceae,3,g
FO00400003,가감위령탕,加減胃苓湯,醫鑑,腎系內科學,1419,,,,저령,猪苓,豭猪屎|結豬苓|導河椽|苓|木豬苓|茱苓|豕零|豕橐|猪|猪零|豬苓|猪屎苓|朱苓|地烏桃|豨苓,M,,균핵(菌核),腎|膀胱,平,甘|淡,,利水退腫藥,Polyporaceae,3,g
FO00400003,가감위령탕,加減胃苓湯,醫鑑,腎系內科學,1419,,,,신곡,神麯,曲|麥曲|米化先生|細麴|細麯|神曲|神麴|六曲|六神曲|六月六一曲|六丁曲|仁陷|制神曲|陳曲|陳神曲|化米花生,M,,발효한 것(醱酵),脾|胃,溫,甘|辛,,消食藥,Gramineae,3,g
