처방아이디,처방한글명,처방한자명,출전,출처,페이지,증상한글명,증상한자명,일반인설명,약재한글명,약재한자명,약재이명,약재타입,수치법,약용부위,귀경,성,미,독성,분류,과명,용량,단위
FO00300001,가감사물탕,加減四物湯,濟生方,心系內科學,475,,,,측백엽,側柏葉,柏樹|柏葉|栢葉|柏子樹|義柏葉|靑柏葉|叢柏葉|側柏|側栢葉|扁柏|香柏,M,,잎(葉)|어린 가지(嫩枝),肝|脾|腎|心|肺|肺|肺|肝|肝|脾|脾,微寒|寒,甘|苦|澀|苦|澀|濇|鹹,無毒,凉血止血藥,Cupressaceae,4,g
FO00300001,가감사물탕,加減四物湯,濟生方,心系內科學,475,,,,생지황,生地黃,乾生地|毛原|密罐花根|山箊根|生乾地黃|生地|鮮生地|鮮地黃|原生地|酒壺花根|地脈|地髓|地黃|天黃|芐|懷慶地黃,M,,뿌리(根),心|肝|腎,寒,甘|苦,,淸熱凉血藥,Scrophulariaceae,4,g
FO00300001,가감사물탕,加減四物湯,濟生方,心系內科學,475,,,,당귀,當歸,乾歸|歸尾|金當歸|當歸身尾|馬尾歸|馬尾當歸|常歸|秦歸|秦當歸|川當歸,M,,뿌리(根),心|肝|脾,溫,甘|辛,,補血藥,Umbelliferae,4,g
FO00300001,가감사물탕,加減四物湯,濟生方,心系內科學,475,,,,천궁,川芎,京芎|貫芎|鞠窮|芎|芎窮|芎藭|芎營|茶芎|大芎|臺芎|大川芎|杜芎|馬銜芎藭|撫芎|蕪芎|撫川芎|山鞠窮|西芎|西撫芎|小撫芎|小川芎|藥芹|雀腦芎|正川芎|眞川芎|天芎|川芎藭|川撫芎|川元蠢|香果|壺藭|胡藭|蒿本,M,,뿌리줄기(根莖),肝|膽|心包,溫,辛,,活血祛瘀藥,Umbelliferae,4,g
FO00300001,가감사물탕,加減四物湯,濟生方,心系內科學,475,,,,지각,枳殼,奴隸|大枳殼|洞庭奴隸|商殼|商州枳殼|商枳殼|只殼|枳慤|枳角|枳穀|陳枳殼|香橙殼,M,,과실(果實),肺|脾|大腸,凉,苦|辛,,理氣藥,Rutaceae,2,g
FO00300001,가감사물탕,加減四物湯,濟生方,心系內科學,475,,,,형개,荊芥,假蘇|姜芥|薑芥|擧卿古拜散|京芥|獨行散|四棱杆蒿|鼠蓂|鼠實|綫芥|如聖散|隱齒菜|一捻金|再生丹|鄭芥|香荊芥|荊開|刑芥穗|荊芥穗|荊芥橞,M,,전초(全草),肺|肝,微溫,辛,,發散風寒藥,Labiatae,2,g
FO00300001,가감사물탕,加減四物湯,濟生方,心系內科學,475,,,,괴화,槐花,槐塵米|塊花|槐花米|金藥樹|豆塊|護房樹,M,炒,화뢰(花蕾),肝|大腸,微寒,苦,,凉血止血藥,Leguminosae,2,g
FO00300001,가감사물탕,加減四物湯,濟生方,心系內科學,475,,,,감초,甘草,甘艸|甘草|甘草根|枯甘草|國老|國老草|大甘草|大嗷|蕗草|美草|蜜甘|蜜草|粉甘草|紛甘草|粉草|紛草|生草|細甘草|小甘草|靈草|靈通|倫蜜珊瑚|主人|槍罕草|甛甘草|甛根子|甛草|橫紋甘草,M,炙,뿌리줄기(根莖)|뿌리(根),心|肺|脾|胃,平,甘,,補氣藥,Leguminosae,2,g
FO00300001,가감사물탕,加減四物湯,濟生方,心系內科學,475,,,,생강,生薑,干|薑根|鉤妝指|老生薑|頭生薑|面薑|母薑|母薑|母生薑|百辣雲|生姜|生羌|生薑母|鮮薑|鮮生薑|宿薑|宿薑|宿生薑|御濕菜|炎凉小子|因地辛|子薑|紫薑|陳生薑|菜薑|川薑|川百薑,M,,뿌리줄기(根莖),肺|脾|胃,微溫,辛,,發散風寒藥,Zingiberaceae,3,개
FO00300001,가감사물탕,加減四物湯,濟生方,心系內科學,475,,,,오매,烏梅,乾枝梅|桔梅肉|大烏梅|大耳紅梅|䕩|梅|梅實|梅子|肥烏梅|山梅|酸梅|鹽梅|午梅|烏梅肉|川烏梅|八梅|哈銀梅|合漢梅|杏梅|黃仔|薰梅,M,,과실(果實),肝|脾|肺|大腸,平,酸|澀,,止瀉藥,Rosaceae,1,개
